DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,FUNCTIONAL,SEX,COUNT
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Kingbird,Frugivore,U,1
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,3
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,Frugivore,U,3
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Kingbird,Frugivore,U,1
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Eastern Kingbird,Frugivore,U,2
5/26/21,7,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,1
5/26/21,9,BURN,BW,NONE,Walford,Eastern Kingbird,Frugivore,U,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Phoebe,Frugivore,U,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Phoebe,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,U,5
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U,8
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,M,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,4
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Towhee,Frugivore,M,9
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U,5
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F ,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M ,1
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,5
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,8
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,F,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,M ,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,4
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,12
