DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,M ,2
5/24/21,4,BURN,WR,Wilkin,Ribas,Eastern Towhee,M ,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,U,5
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,U,8
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Towhee,U,5
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,U,4
5/21/21,2,BURN,PT,Pinkley,Tolar,Eastern Towhee,U,4
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,U,5
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,U ,1
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,U ,6
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,U ,3
5/22/21,1,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,U ,4
5/28/21,9,BURN,PT,Tolar,Pinkley,Eastern Towhee,U ,2
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Great Crested Flycatcher,U,6
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Great Crested Flycatcher,U ,2
5/23/21,4,BURN,PT,Pinkley,Tolar,Great Crested Flycatcher,U ,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Great-Crested Flycatcher,U,1
5/22/21,5,BURN,BW,Balmaceda,Walford,Great-Crested Flycatcher,U,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Great-Crested Flycatcher,U,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Great-Crested Flycatcher ,U,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Grey Catbird,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Grey Catbird,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Ground Dove,U,4
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Ground Dove,U,1
5/23/21,6,BURN,ML,Mason,Lashley,Ground Dove,U,3
5/18/21,3,CONTROL,ML,Mason,Lashley,Hairy Woodpecker,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Hairy Woodpecker,U,1
5/28/21,9,CONTROL,ML,Lashley,NONE,Hairy Woodpecker,U,1
5/25/21,9,BURN,WR,Wilkin,Ribas,Hummingbird,U,1
5/28/21,7,BURN,WR,Wilkin,Ribas,Hummingbird,U,1
5/23/21,2,CONTROL,CM,Cantarero,Marcelletti,Indigo Bunting,F,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Indigo Bunting,M,13
5/18/21,3,BURN,PT,Tolar,Pinkley,Indigo Bunting,M,2
