Site,Treatment,Trap,Date,Time,Species,Age,Sex
4,C,C,5/30/20,11:32,Unknown bird,Unknown,Unknown
6,C,C,5/16/20,10:45,Unknown bird,NA,NA
8,B,A,5/21/20,13:59,Unknown bird,Unknown,Unknown
8,B,A,5/26/20,13:14,Unknown bird,Adult,Male
8,B,A,5/26/20,13:14,Unknown bird,Adult,Male
8,B,A,5/28/20,19:43,Unknown bird,Unknown,Unknown
8,B,A,5/28/20,19:43,Unknown bird,Unknown,Unknown
8,B,A,5/30/20,13:09,Unknown bird,Unknown,Unknown
8,B,A,5/30/20,16:11,Unknown bird,Unknown,Unknown
8,B,A,5/31/20,6:17,Unknown bird,Unknown,Unknown
16,B,B,5/18/20,6:16,Unknown bird,Unknown,Unknown
16,B,B,5/25/20,13:09,Unknown bird,Unknown,Unknown
17,B,A,5/26/20,13:21,Unknown bird,Unknown,Unknown
1,B,A,5/7/20,20:11,Unknown mammal,Unknown,Unknown
6,B,B,4/25/20,6:41,Unknown mammal,Unknown,Unknown
6,B,A,4/16/20,21:56,Unknown mouse,Unknown,Unknown
6,B,A,5/19/20,4:30,Unknown mouse,NA,NA
7,C,B,5/13/20,11:35,Unknown vulture,Adult,Unknown
1,B,C,5/23/20,11:43,Unknown woodpecker,Unknown,Unknown
1,B,A,5/1/20,20:49,White-tailed deer,Adult,Female
1,B,A,5/1/20,22:14,White-tailed deer,Adult,Female
1,B,A,5/1/20,22:41,White-tailed deer,Adult,Female
1,B,A,5/1/20,22:52,White-tailed deer,Adult,Female
1,B,A,5/1/20,23:46,White-tailed deer,Adult,Female
1,B,A,5/1/20,23:53,White-tailed deer,Adult,Female
1,B,A,5/3/20,2:07,White-tailed deer,Adult,Female
1,B,A,5/7/20,20:11,White-tailed deer,Adult,Female
1,B,A,5/10/20,22:33,White-tailed deer,Adult,Male
6,C,B,5/9/20,19:27,White-tailed deer,Adult,Female
6,C,B,5/12/20,14:03,White-tailed deer,Unknown,Unknown
6,C,B,5/12/20,14:03,White-tailed deer,Unknown,Unknown
6,C,B,5/12/20,14:03,White-tailed deer,Unknown,Unknown
8,C,C,5/9/20,17:00,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:00,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:00,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:00,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:07,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:07,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:07,White-tailed deer,Adult,Unknown
8,C,C,5/9/20,17:07,White-tailed deer,Adult,Unknown
6,C,B,5/12/20,19:13,White-tailed deer,Adult,Female
6,C,B,5/14/20,20:19,White-tailed deer,Adult,Female
6,C,B,5/14/20,20:46,White-tailed deer,Adult,Female
6,C,B,5/14/20,20:46,White-tailed deer,Adult,Female
6,C,C,5/28/20,16:01,Yellow-breasted chat,NA,NA
7,C,B,5/15/20,11:49,Yellow-breasted chat,Adult,Unknown
7,C,C,5/22/20,9:39,Yellow-breasted chat,Adult,Unknown
7,B,C,5/7/20,17:33,Yellow-throated vireo,Adult,Unknown
8,C,B,4/21/20,11:39,Yellow-throated vireo,Adult,Unknown
