"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"93",4,"B","C",2020-05-15,"13:04","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"94",4,"B","C",2020-05-15,"19:25","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"95",4,"B","C",2020-05-16,"10:49","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"96",4,"B","C",2020-05-16,"11:46","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"97",4,"B","C",2020-05-17,"10:31","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"98",4,"B","C",2020-05-17,"11:53","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"99",4,"B","C",2020-05-18,"8:20","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"100",4,"B","C",2020-05-18,"11:56","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"101",4,"B","C",2020-05-18,"15:41","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"102",4,"B","C",2020-05-18,"16:31","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"103",7,"C","A",2020-05-29,"8:54","Eastern kingbird","Adult","Unknown",2020-05-31,"Frugivore"
"104",7,"C","A",2020-05-30,"11:35","Eastern kingbird","Adult","Unknown",2020-05-31,"Frugivore"
"105",8,"C","C",2020-05-12,"12:30","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"106",8,"C","C",2020-05-12,"13:05","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"107",8,"C","C",2020-05-12,"14:20","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"108",8,"C","C",2020-05-12,"14:26","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"109",8,"C","C",2020-05-12,"15:41","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"110",8,"C","C",2020-05-12,"16:42","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"111",8,"C","C",2020-05-12,"17:46","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"112",8,"C","C",2020-05-13,"11:20","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"113",8,"C","C",2020-05-13,"11:40","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"114",8,"C","C",2020-05-13,"11:47","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"115",8,"C","C",2020-05-13,"11:52","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"116",8,"C","C",2020-05-13,"12:39","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"117",8,"C","C",2020-05-13,"13:59","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"118",8,"C","C",2020-05-13,"14:28","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"119",8,"C","C",2020-05-13,"14:35","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"120",8,"C","C",2020-05-13,"14:44","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"121",8,"C","C",2020-05-14,"14:09","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"122",8,"C","C",2020-05-14,"16:25","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"123",8,"C","C",2020-05-15,"11:48","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"124",8,"C","C",2020-05-15,"11:59","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"125",8,"C","C",2020-05-15,"12:41","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"126",8,"C","C",2020-05-15,"14:35","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"127",8,"C","C",2020-05-15,"15:22","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"128",8,"C","C",2020-05-15,"15:30","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"129",8,"C","C",2020-05-16,"13:20","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"130",8,"C","C",2020-05-16,"15:23","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"131",8,"C","C",2020-05-16,"15:28","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"132",8,"C","C",2020-05-17,"10:25","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"133",8,"C","C",2020-05-17,"14:33","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"134",8,"C","C",2020-05-17,"15:02","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"135",8,"C","C",2020-05-18,"14:19","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"136",8,"C","C",2020-05-18,"14:43","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"137",8,"C","C",2020-05-18,"15:10","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"138",8,"C","C",2020-05-18,"16:38","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"139",8,"C","C",2020-05-18,"16:50","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"140",8,"C","C",2020-05-18,"16:55","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"141",8,"C","C",2020-05-19,"11:03","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"142",8,"C","B",2020-05-29,"18:08","Eastern phoebe","Adult","Unknown",2020-05-31,"Frugivore"
"143",1,"B","C",2020-05-07,"9:15","Eastern towhee","Adult","Male",2020-05-10,"Frugivore"
"144",17,"B","C",2020-05-09,"7:48","Eastern towhee","Adult","Unknown",2020-05-10,"Frugivore"
"145",17,"B","C",2020-05-09,"9:05","Eastern towhee","Adult","Male",2020-05-10,"Frugivore"
"146",17,"B","C",2020-05-09,"9:50","Eastern towhee","Adult","Unknown",2020-05-10,"Frugivore"
"147",1,"B","B",2020-05-27,"7:17","Eastern towhee","Adult","Male",2020-05-24,"Frugivore"
"148",1,"B","B",2020-05-29,"20:12","Eastern towhee","Adult","Unknown",2020-05-31,"Frugivore"
"149",1,"B","B",2020-05-29,"20:12","Eastern towhee","Adult","Unknown",2020-05-31,"Frugivore"
"150",4,"B","C",2020-05-15,"7:40","Eastern towhee","Adult","Unknown",2020-05-17,"Frugivore"
"151",8,"B","A",2020-05-26,"8:57","Field sparrow","Adult","Unknown",2020-05-24,"Other"
"152",4,"B","A",2020-04-21,"10:38","Great crested flycatcher","Adult","Unknown",2020-04-19,"Other"
"153",4,"B","A",2020-04-24,"11:35","Great crested flycatcher","Adult","Unknown",2020-04-26,"Other"
"154",4,"B","A",2020-05-04,"8:58","Great crested flycatcher","Adult","Unknown",2020-05-03,"Other"
"155",4,"B","A",2020-05-09,"17:20","Great crested flycatcher","Adult","Unknown",2020-05-10,"Other"
"156",6,"B","A",2020-04-22,"11:14","Great crested flycatcher","Adult","Unknown",2020-04-19,"Other"
"157",6,"B","B",2020-04-22,"17:41","Great crested flycatcher","Adult","Unknown",2020-04-19,"Other"
"158",6,"B","C",2020-04-25,"11:31","Great crested flycatcher","Adult","Unknown",2020-04-26,"Other"
"159",7,"B","A",2020-05-03,"20:01","Great crested flycatcher","Adult","Male",2020-05-03,"Other"
"160",17,"C","B",2020-05-12,"16:43","Great crested flycatcher","Adult","Unknown",2020-05-10,"Other"
"161",1,"B","B",2020-05-30,"9:05","Great crested flycatcher","Adult","Unknown",2020-05-31,"Other"
"162",1,"B","C",2020-05-23,"11:43","Great crested flycatcher","Adult","Unknown",2020-05-24,"Other"
"163",6,"B","A",2020-05-27,"16:10","Great crested flycatcher","Adult","Unknown",2020-05-24,"Other"
"164",6,"B","B",2020-05-14,"12:53","Great crested flycatcher","Adult","Unknown",2020-05-17,"Other"
